FEN	Field_Determination	Current_Determination	Collector	Collection_Number	Herbarium	Herbarium_Barcode	Basidiomycete Hit?									
FEN_410_Porina_scabrida	Porina_scabrida	Porina scabrida	Lendemer	49016	NY	3033172	No									
FEN_434_Porpidia_albocaerulescens	Porpidia_albocaerulescens	Porpidia albocaerulescens	Lendemer	49203	NY	3033640	No									
FEN_299_Porpidia_contraponenda	Porpidia_contraponenda	Porpidia contraponenda	Tripp	5025	NY	2358395	No									
FEN_310_Porpidia_crustatula	Porpidia_crustatula	Porpidia crustulata	Tripp	5428	NY	3721092	No									
FEN_311_Porpidia_macrocarpa	Porpidia_macrocarpa	Porpidia macrocarpa	Tripp	4984	NY	2359939	No									
FEN_441_Porpidia_subsimplex	Porpidia_subsimplex	Porpidia subsimplex	Lendemer	49216	NY	3033627	No									
FEN_476_Protoblastenia_rupestris	Protoblastenia_rupestris	Protoblastenia rupestris	Lendemer	49650	NY	3034301	No									
FEN_39_Pseudevernia_cladonia	Pseudevernia_cladonia	Pseudevernia cladonia	Lendemer	46177	NY	2606771	No									
FEN_358_Actually_Lecanora_pseudistera_not_Pseudevernia_Plate5	Pseudevernia_consocians	Pseudevernia consocians	Lendemer	48609	NY	3032985	No									
FEN_409_Pseudosagedia_cestrensis	Pseudosagedia_cestrensis	Pseudosagedia cestrensis	Lendemer	49020	NY	3033168	No									
FEN_100_Pseudosagedia_isidiata	Pseudosagedia_isidiata	Pseudosagedia isidiata	Lendemer	46012	NY	2606936	No									
FEN_43_Pseudosagedia_rhaphidospermum	Pseudosagedia_rhaphidospermum	Pseudosagedia rhaphidosperma	Lendemer	45919	NY	2606570	No									
FEN_202_Punctelia_appalachensis	Punctelia_appalachensis	Punctelia appalachensis	Lendemer	46661	NY	2794983	No									
FEN_487_Punctelia_caseana	Punctelia_caseana	Punctelia caseana	Tripp	6545	NY	2796676	No									
FEN_312_Pyrenula_subelliptica	Pyrenula_subelliptica	Pyrenula subelliptica	Tripp	4986	NY	2359938	No									
FEN_285_Pyrrhospora_varians	Pyrrhospora_varians	Pyrrhospora varians	Tripp	6041	NY	2794319	No									
FEN_438_Pyrrhospora_varians	Pyrrhospora_varians	Pyrrhospora varians	Lendemer	48973	NY	3033725	No									
FEN_405_Pyxine_albovirens	Pyxine_albovirens	Pyxine albovirens	Lendemer	49050	NY	3033138	No									
FEN_81_Pyxine_sorediata	Pyxine_sorediata	Pyxine sorediata	Lendemer	46021	NY	2606926	No									
FEN_397_Myelochroa_obsessa	Myelochroa_obsessa	Pyxine sorediata	Tripp	6093	NY	2796942	No									
FEN_91_Ropalospora_chlorantha	Ropalospora_chlorantha	Ropalospora chlorantha	Lendemer	46159	NY	2606789	No									
FEN_217_Sarea_resinae	Sarea_resinae	Sarea resinae	Lendemer	46787	NY	2794850	No									
FEN_196_Schismatomma_glaucescens	Schismatomma_glaucescens	Schismatomma glaucescens	Lendemer	46716	NY	2794928	No									
FEN_318_Scoliciosporum_umbrinum	Scoliciosporum_umbrinum	Scoliciosporum umbrinum	Tripp	4949	COLO	COLO-L-0050352	No									
FEN_279_????_ssc2	????_ssc2	ssc	Tripp	6058	COLO	COLO-L-0051364	No									
FEN_394_???_???	???_???	ssc	Lendemer	48835	NY	3720155	No									
FEN_319_Stereocaulon_dactylophyllum	Stereocaulon_dactylophyllum	Stereocaulon dactylophyllum	Tripp	5027	NY	2358398	No									
FEN_404_???_???	???_???	Sterile sorediate crust	Lendemer	49042	NY	3033146	No									
FEN_479_ssc_3	ssc_3	Sterile sorediate crust	Tripp	6296	NY	2808629	No									
FEN_255_Sticta_sp	Sticta_sp_nov	Sticta	Lendemer	47364	NY	2795562	No									
FEN_76_Sticta_beauvoisii	Sticta_beauvoisii	Sticta beauvoisii	Lendemer	46028	NY	2606919	No									
FEN_413_Sticta_caroliniana	Sticta_caroliniana	Sticta carolinensis	Tripp	6143	NY	2796954	No									
FEN_381_Sticta_fragillinata	Sticta_fragillinata	Sticta fragilinata	Lendemer	48759	NY	3033429	No									
FEN_208_Tephromela_atra	Tephromela_atra	Tephromela atra	Lendemer	46366	NY	2795284	No									
FEN_436_Thelotrema_defectum	Thelotrema_defectum	Thelotrema defectum	Lendemer	49172	NY	3033671	No									
FEN_449_Thelotrema_subtile	Thelotrema_subtile	Thelotrema subtile	Lendemer	49423	NY	3033922	No									
FEN_18_Trapelia_coarctata	Trapelia_coarctata	Trapelia coarctata	Lendemer	46059	NY	2606888	No									
