Taxa	total_occ
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae	4
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Candidatus Alysiosphaera	4
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae	4
Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae	4
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	4
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Unclassified Pseudomonadales	4
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Entomoplasmataceae	4
Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Unclassified Dinophyceae	4
Eukaryota;Chromalveolata;Stramenopiles;Diatomea;Bacillariophytina	4
Eukaryota;Fungi;Ascomycota;Saccharomycotina;Unclassified Saccharomycotina	4
Eukaryota;Fungi;Basal fungi;Basal fungi;Glomeromycota	4
Eukaryota;Fungi;Basal fungi;Basal fungi;Mucoromycotina	4
Eukaryota;Metazoa;Arthropoda;Crustacea;Maxillopoda	4
Eukaryota;Metazoa;Tardigrada;Tardigrada;Hypsibiidae	4
Eukaryota;Rhizaria;Cercozoa;Thecofilosea;Unclassified Thecofilosea	4
Eukaryota;Unikonta;Amoebozoa;Conosa;Soliformovum	4
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Tsukamurellaceae	3
Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Unclassified Pseudonocardiales	3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	3
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae	3
Bacteria;Chloroflexi;Chloroflexi;Herpetosiphonales;Herpetosiphonaceae	3
Bacteria;Cyanobacteria;Cyanobacteria;SubgroupI;FamilyI	3
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyII	3
Bacteria;Cyanobacteria;Unclassified Cyanobacteria;;	3
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae	3
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	3
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Unclassified Fusobacteriales	3
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	3
Bacteria;Planctomycetes;Planctomycetacia;Brocadiales;Brocadiaceae	3
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Unclassified Planctomycetales	3
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;alphaI cluster	3
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Family Incertae Sedis	3
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Chesapeake-Delaware Bay	3
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	3
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae	3
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Unclassified Desulfovibrionales	3
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	3
Bacteria;Proteobacteria;Epsilonproteobacteria;Nautiliales;Nautiliaceae	3
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae	3
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Unclassified Spirochaetales	3
