bin,median_cov
cov_public_ERR4179390_metawrap_bin.16.fa,14.0
cov_public_ERR4179390_metawrap_bin.17.fa,41.0
cov_public_ERR4179390_metawrap_bin.18.fa,89.0
cov_public_ERR4179390_metawrap_bin.1.fa,25.0
cov_public_ERR4179390_metawrap_bin.2.fa,28.0
cov_public_ERR4179390_metawrap_bin.3.fa,11.0
cov_public_ERR4179390_metawrap_bin.4.fa,7.0
cov_public_ERR4179390_metawrap_bin.5.fa,27.0
cov_public_ERR4179390_metawrap_bin.6.fa,22.0
cov_public_ERR4179390_metawrap_bin.7.fa,13.0
cov_public_ERR4179390_metawrap_bin.8.fa,35.0
cov_public_ERR4179390_metawrap_bin.9.fa,9.0
cov_public_ERR4179391_metawrap_bin.1.fa,15.0
cov_public_ERR4179391_metawrap_bin.2.fa,5.0
cov_public_ERR4179391_metawrap_bin.3.fa,7.0
cov_public_ERR4179391_metawrap_bin.4.fa,8.0
cov_public_ERR4179391_metawrap_bin.5.fa,15.0
cov_public_ERR4179391_metawrap_bin.6.fa,7.0
cov_public_ERR4179391_metawrap_bin.7.fa,9.0
cov_public_ERR4179391_metawrap_bin.8.fa,7.0
cov_public_ERR4179391_metawrap_bin.9.fa,14.0
cov_public_SRR11456913_concoct_bin.13.fa,71.0
cov_public_SRR11456913_metawrap_bin.10.fa,6.0
cov_public_SRR11456913_metawrap_bin.11.fa,185.0
cov_public_SRR11456913_metawrap_bin.12.fa,6.0
cov_public_SRR11456913_metawrap_bin.13.fa,10.0
cov_public_SRR11456913_metawrap_bin.14.fa,13.0
cov_public_SRR11456913_metawrap_bin.15.fa,30.0
cov_public_SRR11456913_metawrap_bin.16.fa,11.0
cov_public_SRR11456913_metawrap_bin.17.fa,8.0
cov_public_SRR11456913_metawrap_bin.18.fa,9.0
cov_public_SRR11456913_metawrap_bin.19.fa,19.0
cov_public_SRR11456913_metawrap_bin.1.fa,10.0
cov_public_SRR11456913_metawrap_bin.20.fa,5.0
cov_public_SRR11456913_metawrap_bin.21.fa,29.0
cov_public_SRR11456913_metawrap_bin.22.fa,7.0
cov_public_SRR11456913_metawrap_bin.23.fa,30.0
cov_public_SRR11456913_metawrap_bin.24.fa,8.0
cov_public_SRR11456913_metawrap_bin.25.fa,49.0
cov_public_SRR11456913_metawrap_bin.26.fa,10.0
cov_public_SRR11456913_metawrap_bin.2.fa,6.0
cov_public_SRR11456913_metawrap_bin.3.fa,23.0
cov_public_SRR11456913_metawrap_bin.4.fa,4.0
cov_public_SRR11456913_metawrap_bin.5.fa,6.0
cov_public_SRR11456913_metawrap_bin.6.fa,13.0
cov_public_SRR11456913_metawrap_bin.7.fa,8.0
cov_public_SRR11456913_metawrap_bin.8.fa,18.0
cov_public_SRR11456913_metawrap_bin.9.fa,5.0
cov_public_SRR11456914_concoct_merged.0.fa,262.0
cov_public_SRR11456914_metawrap_bin.10.fa,8.0
cov_public_SRR11456914_metawrap_bin.11.fa,7.0
cov_public_SRR11456914_metawrap_bin.12.fa,40.0
cov_public_SRR11456914_metawrap_bin.13.fa,12.0
cov_public_SRR11456914_metawrap_bin.14.fa,11.0
cov_public_SRR11456914_metawrap_bin.15.fa,8.0
cov_public_SRR11456914_metawrap_bin.16.fa,4.0
cov_public_SRR11456914_metawrap_bin.17.fa,15.0
cov_public_SRR11456914_metawrap_bin.18.fa,32.0
cov_public_SRR11456914_metawrap_bin.19.fa,8.0
cov_public_SRR11456914_metawrap_bin.1.fa,5.0
cov_public_SRR11456914_metawrap_bin.20.fa,14.0
cov_public_SRR11456914_metawrap_bin.21.fa,9.0
cov_public_SRR11456914_metawrap_bin.22.fa,5.0
cov_public_SRR11456914_metawrap_bin.23.fa,5.0
cov_public_SRR11456914_metawrap_bin.24.fa,17.0
cov_public_SRR11456914_metawrap_bin.25.fa,13.0
cov_public_SRR11456914_metawrap_bin.2.fa,14.0
cov_public_SRR11456914_metawrap_bin.3.fa,6.0
cov_public_SRR11456914_metawrap_bin.4.fa,5.0
cov_public_SRR11456914_metawrap_bin.5.fa,8.0
cov_public_SRR11456914_metawrap_bin.6.fa,378.0
cov_public_SRR11456914_metawrap_bin.7.fa,9.0
cov_public_SRR11456914_metawrap_bin.8.fa,14.0
cov_public_SRR11456914_metawrap_bin.9.fa,64.0
cov_public_SRR11456915_concoct_bin.5.fa,13.0
cov_public_SRR11456915_metabat2_merged.0.fa,60.0
cov_public_SRR11456915_metawrap_bin.10.fa,7.0
cov_public_SRR11456915_metawrap_bin.1.fa,5.0
cov_public_SRR11456915_metawrap_bin.2.fa,7.0
cov_public_SRR11456915_metawrap_bin.3.fa,69.0
cov_public_SRR11456915_metawrap_bin.4.fa,11.0
cov_public_SRR11456915_metawrap_bin.5.fa,11.0
cov_public_SRR11456915_metawrap_bin.6.fa,17.0
cov_public_SRR11456915_metawrap_bin.7.fa,5.0
cov_public_SRR11456915_metawrap_bin.8.fa,46.0
cov_public_SRR11456915_metawrap_bin.9.fa,7.0
cov_public_SRR11456917_metabat2_merged.0.fa,45.0
cov_public_SRR11456917_metawrap_bin.1.fa,5.0
cov_public_SRR11456917_metawrap_bin.2.fa,8.0
cov_public_SRR11456917_metawrap_bin.3.fa,5.0
cov_public_SRR11456918_metabat2_merged.0.fa,59.0
cov_public_SRR11456918_metawrap_bin.1.fa,6.0
cov_public_SRR11456918_metawrap_bin.2.fa,8.0
cov_public_SRR11456918_metawrap_bin.3.fa,137.0
cov_public_SRR11456918_metawrap_bin.4.fa,18.0
cov_public_SRR11456918_metawrap_bin.5.fa,9.0
cov_public_SRR11456918_metawrap_bin.6.fa,5.0
cov_public_SRR11456918_metawrap_bin.7.fa,20.0
cov_public_SRR11456918_metawrap_bin.8.fa,21.0
cov_public_SRR11456919_concoct_bin.22.fa,55.0
cov_public_SRR11456919_metabat2_bin.15.fa,42.0
cov_public_SRR11456919_metawrap_bin.10.fa,8.0
cov_public_SRR11456919_metawrap_bin.11.fa,15.0
cov_public_SRR11456919_metawrap_bin.12.fa,7.0
cov_public_SRR11456919_metawrap_bin.13.fa,11.0
cov_public_SRR11456919_metawrap_bin.14.fa,6.0
cov_public_SRR11456919_metawrap_bin.15.fa,5.0
cov_public_SRR11456919_metawrap_bin.1.fa,9.0
cov_public_SRR11456919_metawrap_bin.2.fa,20.0
cov_public_SRR11456919_metawrap_bin.3.fa,12.0
cov_public_SRR11456919_metawrap_bin.4.fa,6.0
cov_public_SRR11456919_metawrap_bin.5.fa,39.0
cov_public_SRR11456919_metawrap_bin.6.fa,7.0
cov_public_SRR11456919_metawrap_bin.7.fa,5.0
cov_public_SRR11456919_metawrap_bin.8.fa,7.0
cov_public_SRR11456919_metawrap_bin.9.fa,7.0
cov_public_SRR11456921_concoct_merged.0.fa,111.0
cov_public_SRR11456921_metabat2_merged.0.fa,114.0
cov_public_SRR11456921_metawrap_bin.10.fa,13.0
cov_public_SRR11456921_metawrap_bin.11.fa,17.0
cov_public_SRR11456921_metawrap_bin.12.fa,25.0
cov_public_SRR11456921_metawrap_bin.13.fa,8.0
cov_public_SRR11456921_metawrap_bin.14.fa,17.0
cov_public_SRR11456921_metawrap_bin.15.fa,6.0
cov_public_SRR11456921_metawrap_bin.16.fa,10.0
cov_public_SRR11456921_metawrap_bin.17.fa,6.0
cov_public_SRR11456921_metawrap_bin.18.fa,30.0
cov_public_SRR11456921_metawrap_bin.19.fa,33.0
cov_public_SRR11456921_metawrap_bin.1.fa,7.0
cov_public_SRR11456921_metawrap_bin.20.fa,21.0
cov_public_SRR11456921_metawrap_bin.21.fa,7.0
cov_public_SRR11456921_metawrap_bin.22.fa,5.0
cov_public_SRR11456921_metawrap_bin.23.fa,14.0
cov_public_SRR11456921_metawrap_bin.24.fa,8.0
cov_public_SRR11456921_metawrap_bin.25.fa,12.0
cov_public_SRR11456921_metawrap_bin.2.fa,10.0
cov_public_SRR11456921_metawrap_bin.3.fa,252.0
cov_public_SRR11456921_metawrap_bin.4.fa,5.0
cov_public_SRR11456921_metawrap_bin.5.fa,8.0
cov_public_SRR11456921_metawrap_bin.6.fa,24.0
cov_public_SRR11456921_metawrap_bin.7.fa,36.0
cov_public_SRR11456921_metawrap_bin.8.fa,9.0
cov_public_SRR11456921_metawrap_bin.9.fa,16.0
cov_public_SRR11456922_metabat2_merged.1.fa,25.0
cov_public_SRR11456922_metawrap_bin.10.fa,378.0
cov_public_SRR11456922_metawrap_bin.1.fa,27.0
cov_public_SRR11456922_metawrap_bin.2.fa,24.0
cov_public_SRR11456922_metawrap_bin.3.fa,14.0
cov_public_SRR11456922_metawrap_bin.4.fa,13.0
cov_public_SRR11456922_metawrap_bin.5.fa,7.0
cov_public_SRR11456922_metawrap_bin.6.fa,39.0
cov_public_SRR11456922_metawrap_bin.7.fa,9.0
cov_public_SRR11456922_metawrap_bin.8.fa,18.0
cov_public_SRR11456922_metawrap_bin.9.fa,18.0
cov_public_SRR11456923_metabat2_merged.0.fa,24.0
cov_public_SRR11456923_metawrap_bin.1.fa,5.0
cov_public_SRR11456923_metawrap_bin.2.fa,8.0
cov_public_SRR11456923_metawrap_bin.3.fa,12.0
cov_public_SRR11456923_metawrap_bin.4.fa,10.0
cov_public_SRR11456923_metawrap_bin.5.fa,8.0
cov_public_SRR11456923_metawrap_bin.6.fa,27.0
cov_public_SRR11456923_metawrap_bin.7.fa,215.0
cov_public_SRR12240174_metabat2_bin.2.fa,8.0
cov_public_SRR12240174_metawrap_bin.1.fa,7.0
cov_public_SRR12240174_metawrap_bin.2.fa,5.0
cov_public_SRR12240174_metawrap_bin.3.fa,10.0
cov_public_SRR12240175_concoct_merged.0.fa,11.0
cov_public_SRR12240177_metabat2_bin.4.fa,21.0
cov_public_SRR12240177_metawrap_bin.1.fa,4.0
cov_public_SRR12240177_metawrap_bin.2.fa,8.0
cov_public_SRR12240177_metawrap_bin.3.fa,5.0
cov_public_SRR12240178_metabat2_bin.6.fa,14.0
cov_public_SRR12240179_concoct_bin.1.fa,21.0
cov_public_SRR12240179_metawrap_bin.1.fa,6.0
cov_public_SRR12240179_metawrap_bin.2.fa,9.0
cov_public_SRR12240179_metawrap_bin.3.fa,8.0
cov_public_SRR12240180_concoct_bin.4.fa,45.0
cov_public_SRR12240180_metawrap_bin.1.fa,8.0
cov_public_SRR12240180_metawrap_bin.2.fa,5.0
cov_public_SRR12240180_metawrap_bin.3.fa,4.0
cov_public_SRR12240181_metabat2_bin.5.fa,18.0
