Genome	bac_family	bac_order	bac_phylum	hdbscan	kmeans	apcluster
public_SRR14722042_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR14722049_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR14722050_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR14722050_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR14722050_metawrap_bin.3	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
public_SRR14722067_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR14722071_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
public_SRR14722078_metawrap_bin.4	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1	3	16
public_SRR14722081_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR14722086_metawrap_bin.11	Bryobacteraceae	Bryobacterales	Acidobacteriota	3	4	1
public_SRR14722086_metawrap_bin.4	Chroococcidiopsidaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR14722086_metawrap_bin.6	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1	3	16
public_SRR14722088_metawrap_bin.5	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR14722090_metawrap_bin.6	Bryobacteraceae	Bryobacterales	Acidobacteriota	3	4	1
public_SRR14722095_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR14722098_metawrap_bin.4	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1	3	16
public_SRR14722101_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR14722108_metawrap_bin.1	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR14722117_metawrap_bin.2	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR14722118_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
